,frame,pos_x,pos_y,size,id
0,10.0,584.6426426426426,31.0,277.5,A
1,10.0,299.68359941944846,43.898403483309146,344.5,B
2,10.0,409.79492600422833,251.3121916842847,236.5,C
3,10.0,225.5746887966805,390.18257261410787,241.0,D
4,10.0,99.77510608203677,343.99905704856195,353.5,E
5,10.0,1027.5052083333333,126.52488425925925,288.0,F
6,10.0,918.1553090332806,201.0565240359218,315.5,G
7,10.0,796.7137566137566,385.4465608465608,315.0,H
8,10.0,1183.7781007751937,296.2766472868217,344.0,I
9,12.0,585.2817679558011,31.16820135052179,271.5,A
10,12.0,299.7043172690763,44.768574297188756,332.0,B
11,12.0,417.00563909774434,241.10526315789474,266.0,C
12,12.0,225.48371448371446,391.4414414414414,240.5,D
13,12.0,99.9503448275862,344.66666666666663,362.5,E
14,12.0,1027.8401360544217,124.33049886621315,294.0,F
15,12.0,917.1817042606516,208.37656641604008,266.0,G
16,12.0,799.275,384.32447916666666,320.0,H
17,12.0,1182.6082834331337,298.7435129740519,334.0,I
18,15.0,585.9772135416666,32.42317708333333,256.0,A
19,15.0,300.23030303030305,45.34646464646464,330.0,B
20,15.0,425.7989985693848,224.75536480686696,233.0,C
21,15.0,223.38213058419242,390.2247422680412,242.5,D
22,15.0,100.49518304431598,346.4421965317919,346.0,E
23,15.0,1020.3089133089132,108.60134310134309,273.0,F
24,15.0,902.3993993993994,219.87807807807806,277.5,G
25,15.0,797.2795874049945,380.1606948968512,307.0,H
26,15.0,1180.1269113149847,304.019877675841,327.0,I
27,16.0,586.1689677843523,32.44641683103222,253.5,A
28,16.0,300.0841025641025,45.21589743589743,325.0,B
29,16.0,427.34869739478955,214.36005344021373,249.5,C
30,16.0,222.968992248062,389.06624383368563,236.5,D
31,16.0,100.7508369201339,347.70875179340027,348.5,E
32,16.0,1019.2778711484592,102.77871148459383,297.5,F
33,16.0,899.9769053117783,228.437259430331,216.5,G
34,16.0,796.4493207941483,378.26854754440956,319.0,H
35,16.0,1178.8204334365325,305.8070175438596,323.0,I
36,17.0,586.1617933723197,32.30799220272905,256.5,A
37,17.0,300.2868565717141,45.35632183908046,333.5,B
38,17.0,429.1279069767442,208.43217054263565,258.0,C
39,17.0,223.4487972508591,389.29209621993124,242.5,D
40,17.0,100.83357383357382,348.05675805675804,346.5,E
41,17.0,1020.1267685342387,99.69326542161855,294.5,F
42,17.0,902.5126536514822,234.11352133044105,230.5,G
43,17.0,795.5569487983281,377.8187042842215,319.0,H
44,17.0,1177.9225641025641,307.7748717948718,325.0,I
45,18.0,585.8620245003223,32.10058027079304,258.5,A
46,18.0,300.10044977511245,45.063468265867066,333.5,B
47,18.0,430.06424936386765,205.41921119592874,262.0,C
48,18.0,223.78910120311392,389.83297947629154,235.5,D
49,18.0,100.7747619047619,348.2942857142857,350.0,E
50,18.0,1020.8884934756819,99.84638196915776,281.0,F
51,18.0,903.6899055918662,236.22004357298474,229.5,G
52,18.0,795.1969696969697,377.17373737373737,330.0,H
53,18.0,1177.51776384535,308.57628004179725,319.0,I
54,21.0,586.0456273764258,31.933460076045627,263.0,A
55,21.0,300.52681704260647,45.630576441102754,332.5,B
