,frame,pos_x,pos_y,size,id
0,1.0,215.52243589743588,45.83373397435897,416.0,A
1,1.0,426.10468319559226,53.750098386462014,423.5,B
2,1.0,792.3636363636364,51.41171717171717,412.5,C
3,1.0,1086.9405204460966,21.93432465923172,269.0,D
4,1.0,895.9241261722079,138.93563512361465,391.0,E
5,1.0,298.2721579961464,386.6594412331406,346.0,F
6,1.0,97.73480902777777,382.55078125,384.0,G
7,1.0,711.7481203007519,397.4705513784461,266.0,H
8,1.0,1152.764705882353,51.95118047218887,416.5,I
9,1.0,551.2022299115724,398.81084198385236,433.5,J
10,2.0,215.53968253968253,46.27142857142857,420.0,A
11,2.0,426.0586124401914,53.91467304625199,418.0,B
12,2.0,792.2921711057303,51.485875706214685,413.0,C
13,2.0,1087.2442839951864,22.05836341756919,277.0,D
14,2.0,895.7868064657055,137.02140672782875,381.5,E
15,2.0,298.0805270863836,386.2088823816495,341.5,F
16,2.0,96.85343077547705,381.6414941128704,410.5,G
17,2.0,715.2652482269502,400.28865248226947,235.0,H
18,2.0,1152.3759280969127,51.659241891363806,426.5,I
19,2.0,551.2637917637917,398.7171717171717,429.0,J
20,3.0,215.59897678079494,46.28610783156237,423.5,A
21,3.0,426.11736526946106,54.53493013972056,417.5,B
22,3.0,792.366344605475,51.69967793880837,414.0,C
23,3.0,1087.1842576028623,22.1025641025641,279.5,D
24,3.0,895.7169069462648,133.96199213630408,381.5,E
25,3.0,297.6537726838586,385.87010506208213,349.0,F
26,3.0,95.68003054600992,379.893470790378,436.5,G
27,3.0,711.8048780487804,402.83101045296166,287.0,H
28,3.0,1151.9859775641025,55.65184294871794,416.0,I
29,3.0,551.2354988399072,398.76914153132253,431.0,J
30,4.0,215.50079365079364,46.838095238095235,420.0,A
31,4.0,426.12270183852917,54.36970423661071,417.0,B
32,4.0,792.3325031133251,51.82150269821502,401.5,C
33,4.0,1087.2505910165482,22.10756501182033,282.0,D
34,4.0,895.6375448028673,132.2706093189964,372.0,E
35,4.0,297.22699093943726,385.66857415355264,349.5,F
36,4.0,95.20819490586932,378.75415282392026,451.5,G
37,4.0,708.0038824181919,402.00499168053244,300.5,H
38,4.0,1151.7962962962963,54.858550039401095,423.0,I
39,4.0,551.1285327138985,398.764614789005,430.5,J
40,5.0,215.5827532869296,46.82637277648878,431.0,A
41,5.0,426.16004813477736,54.254713196951464,415.5,B
42,5.0,792.2917716204869,51.99244332493703,397.0,C
43,5.0,1087.3298490127756,22.119047619047617,287.0,D
44,5.0,895.4612612612611,128.45765765765765,370.0,E
45,5.0,296.55843495934954,385.5955284552845,328.0,F
46,5.0,96.8559847401049,382.16499761564137,349.5,G
47,5.0,704.073305670816,400.62194559704926,361.5,H
48,5.0,1151.1822916666665,57.29487179487179,416.0,I
49,5.0,551.433991482772,398.73945025164534,430.5,J
50,6.0,215.45433255269322,47.258782201405154,427.0,A
51,6.0,426.11509358821183,53.98805256869773,418.5,B
52,6.0,792.4081974069426,51.70054370556252,398.5,C
53,6.0,1087.1355831853166,22.08525754884547,281.5,D
54,6.0,895.3409294012511,125.53663985701519,373.0,E
55,6.0,296.76651651651645,391.4587087087087,222.0,F
56,6.0,101.89211800968735,383.22677234698364,378.5,G
57,6.0,700.7708042770804,399.17759181775915,358.5,H
58,6.0,1150.5306536743808,58.11611855460819,410.5,I
59,6.0,551.4098107377365,398.7060641174198,431.5,J
60,7.0,215.44302325581396,47.39728682170542,430.0,A
61,7.0,426.16152019002374,53.92201108471892,421.0,B
62,7.0,792.2996207332491,52.16477033291192,395.5,C
63,7.0,1087.2142857142858,22.041071428571428,280.0,D
64,7.0,895.3090745732254,124.37870619946092,371.0,E
65,7.0,297.20166987797046,392.96082209377005,259.5,F
66,7.0,100.87263863497866,383.6209628275442,273.5,G
67,7.0,701.0896226415094,399.0115303983228,318.0,H
68,7.0,1150.2737226277372,59.647201946472016,411.0,I
69,7.0,551.7355114741346,398.6444963049397,428.5,J
70,8.0,215.5864197530864,47.55555555555556,432.0,A
